"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significance","minuslog10padj","regulation","inPublication"
"3157","Dusp11",2616.19862245576,0.130262294360298,0.0749829590118053,1.73722531195107,0.0823474087637186,0.219426529743776,"p adj. >= 0.05",0.658710865253633,"not significant",FALSE
"3158","Dusp12",193.289873619724,0.10247677640206,0.118914199970028,0.861770725681954,0.388813697224332,0.601271469331301,"p adj. >= 0.05",0.220929403182522,"not significant",FALSE
"3159","Dusp14",65.0919870404133,-0.225561015992532,0.237935509725143,-0.947992236438748,0.343133406515513,0.557651624123758,"p adj. >= 0.05",0.253637028607519,"not significant",FALSE
"3160","Dusp15",200.736667039689,-0.196740219876443,0.129650750148841,-1.5174630277926,0.12914982130117,0.29909704848428,"p adj. >= 0.05",0.524187872603303,"not significant",FALSE
"3161","Dusp16",187.887443365633,-0.314749207842212,0.14332499170714,-2.1960525104048,0.0280881851311779,0.102701568392489,"p adj. >= 0.05",0.988422924085268,"not significant",FALSE
"3162","Dusp18",817.967413144102,-0.210989122180994,0.0622032706512733,-3.39192971642681,0.000694022402993031,0.00615035022816973,"p adj. < 0.05",2.21110015286999,"not significant",FALSE
"3163","Dusp19",128.275626524816,0.239776104752505,0.163972970227767,1.46229042762014,0.143661640541535,0.320835777417579,"p adj. >= 0.05",0.493717208128969,"not significant",FALSE
"3164","Dusp2",45.3340916844866,0.165256873085089,0.235545614530133,0.701591805963968,0.482933763155562,0.680792611385905,"p adj. >= 0.05",0.166985166277967,"not significant",FALSE
"3165","Dusp22",184.878300966949,0.0594238814774305,0.121352533635294,0.489679775916501,0.624360515093746,0.784904647323169,"p adj. >= 0.05",0.105183099505267,"not significant",FALSE
"3166","Dusp26",508.429122099777,0.259239109797202,0.0855315350891825,3.0309184738342,0.00243811069354395,0.0164547491171864,"p adj. < 0.05",1.78370873493461,"not significant",FALSE
"3167","Dusp28",79.2219466121357,0.0829772331794535,0.178612160338084,0.464566539156073,0.642241898990262,0.797253736846564,"p adj. >= 0.05",0.0984034364775537,"not significant",FALSE
"3168","Dusp3",301.916153352885,0.253494160381318,0.0962564980563531,2.63352776695564,0.00845029259090526,0.0429491337162754,"p adj. < 0.05",1.36704559146104,"not significant",FALSE
"3169","Dusp4",2953.3431845524,-0.213606516038897,0.0650190559708202,-3.28529094816082,0.0010187711164427,0.00832070098451095,"p adj. < 0.05",2.07984008466108,"not significant",FALSE
"3170","Dusp6",425.522925111126,0.103537395240835,0.0794689637111307,1.30286580327375,0.192620580544778,0.389239782816058,"p adj. >= 0.05",0.409782778438308,"not significant",FALSE
"3171","Dusp7",560.77932501753,-0.00724597098778008,0.0762494431510356,-0.0950298217054149,0.924291139806685,0.961992087073125,"p adj. >= 0.05",0.0168285002642779,"not significant",FALSE
"3172","Dusp8",2827.14049818426,0.102980932245772,0.0618350425463874,1.66541378488611,0.0958302311019965,0.243907933643296,"p adj. >= 0.05",0.612774073070986,"not significant",FALSE
"3173","Dut",380.930449008343,-0.113440835148029,0.0910058090358211,-1.24652301155168,0.212572446447677,0.416411884636043,"p adj. >= 0.05",0.380476883968905,"not significant",FALSE
