"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Aste1",136.747119977608,0.251727807566814,0.156078737665685,0.00933485014549849,0.0461107295901002
"Astn2",238.765039078023,0.536471320432415,0.119987701934603,4.75252218558647e-07,1.54211150918513e-05
"Asxl1",2021.12543574171,-0.160504396099798,0.0445013381762919,9.86483132311788e-05,0.00130875415761083
"Asxl3",1702.62397514551,0.165014430342588,0.0767908516581028,0.00811164281518798,0.0417269747939424
"Atad1",1733.57727110008,0.11844054980658,0.0471051110333073,0.0056502416308608,0.0315557996155273
"Atad2",371.130616660769,-0.248032412445304,0.121161301581287,0.00445110301970993,0.0262119931835477
"Atat1",5207.55915590248,-0.291804678599145,0.0418327510322453,3.82262242608239e-13,6.74869480502268e-11
"Atf5",229.3582644916,-0.279425762333453,0.117469005067197,0.00170188974373369,0.0124352165745688
"Atf7ip",3478.14421676705,-0.276424051921083,0.0502049822284817,4.96493472781466e-09,2.93309641723006e-07
"Atg12",1317.03843016409,0.135757155616821,0.0600812815637264,0.00891604017215372,0.0446276266063652
"Atg13",889.054074798564,-0.151197863399082,0.0629929264144789,0.00517203421725305,0.0295781962448788
"Atl1",1120.82387962434,0.283989710167471,0.0550945342566386,3.2973265753866e-08,1.49317106337556e-06
"Atm",1178.82565818904,0.271796228990879,0.0738648646520737,2.97028133938526e-05,0.00049121282256262
"Atosb",938.017989078399,-0.207436862584022,0.0597753293577634,0.00010359777026507,0.00136189386474813
"Atp13a3",1647.94974407963,0.188770711544504,0.0689712055892118,0.00136361213737485,0.0104676538702906
"Atp2a2",5242.32873299167,0.210146252247387,0.047061263690245,1.67963132384282e-06,4.41665929347412e-05
"Atp2b1",4096.74097027918,0.308916299079492,0.04149512449421,1.2043671409656e-14,3.13177518305506e-12
"Atp2c1",1873.11376127804,0.161136802272134,0.0620848600543806,0.00273205293196423,0.0179137722009646
"Atp5f1c",1978.81801336095,0.115825768065287,0.0453668692010177,0.00524289051985777,0.0298372930766346
"Atp5mf",537.036207137858,0.174965381784137,0.0790923903444938,0.00627845240222671,0.0341927788122922
"Atp5mj",272.462664448672,0.271354701020035,0.107411538932411,0.00123994081254977,0.00971904031118644
"Atp5mk",298.146091846812,0.272978923360617,0.114986416912826,0.00180544067795411,0.0130399536685129
"Atp6v1a",2909.18738771878,0.290848008542624,0.0418005908813977,4.56804399687099e-13,7.42955698947881e-11
"Atp6v1b2",3129.50219188992,0.158910496777273,0.0417808532763421,4.61498011671591e-05,0.000712752028811435
"Atp6v1h",1728.89271783882,0.181194965134038,0.0536842932982973,0.000187782008057539,0.00219826243019545
"ATP8",191.217536645466,0.973622600551694,0.156611803568594,2.6303101376164e-11,2.72848076794948e-09
"Atp8a1",2918.05665026209,0.26623678473528,0.0587048485161321,8.0725858250128e-07,2.4170055831527e-05
"Atp8a2",496.904685935217,0.626317956137662,0.10216178723427,5.26677703213748e-11,5.06456354900578e-09
"Atr",648.741701937433,0.187816534203565,0.070460353812862,0.00166733558747731,0.0122575217798136
"Atraid",322.437017330355,0.188280120527644,0.0971484103954853,0.00977277103742671,0.047772350889447
"Atrn",2291.61770418425,0.12995729062239,0.0506357374311402,0.0042404323147972,0.0252775815905603
"Atrx",7895.69949171317,0.267780393465202,0.0425009158021549,4.42286656246203e-11,4.41415485559657e-09
"Atxn1",1441.99620632426,0.256863441971572,0.0763606282212198,0.000103762950444515,0.00136189386474813
"Atxn7l2",489.302977629772,-0.186781572677452,0.0793697701989678,0.00389994699036483,0.0236655465919237
"Atxn7l3b",7415.91489266388,-0.154295263238438,0.0449115778010417,0.000198933352267574,0.00228487182456235
"AU040320",867.802001052086,-0.167281711606536,0.0661327782704541,0.0030564041289396,0.0194776398043049
"Aurka",134.873910732313,-0.386678193257328,0.161084734516257,0.000991138588606289,0.00814043626327884
"Aurkb",160.038297681987,-0.816927059725824,0.14921456729655,2.29165912803514e-09,1.53250341892055e-07
"Auts2",4478.25865375728,-0.202565010104975,0.0515469429672,1.84752305456418e-05,0.000329800389171118
"AW551984",665.059771425928,0.603289752234214,0.261547002058935,0.000820735930643009,0.00697901318181878
"Axin1",705.522322014519,-0.150023087202826,0.0667485868210605,0.00768551988307956,0.0400827549246596
"AY036118",159.563333822587,0.422064640892022,0.219562219805934,0.0024978111524672,0.0167632012850753
"Azin1",4454.65827961651,0.184340552092139,0.0353929673239884,4.7215093647978e-08,2.07337214572821e-06
